"Cell_ID_Myeloid","Cell_ID_T_Cell","Distance","Cell_type"
"M_1","T_1",693.936032062104,"H+"
"M_2","T_1",192.149685942414,"H-"
"M_3","T_1",589.432314204741,"H-"
"M_4","T_1",1737.12355116336,"H+"
"M_5","T_1",487.36960181128,"H+"
"M_6","T_1",812.27788603261,"H+"
"M_7","T_1",190.325370585683,"H-"
"M_8","T_1",1565.57952314097,"H+"
"M_9","T_1",769.64466185275,"H+"
"M_10","T_1",485.16510774679,"H-"
"M_11","T_1",1340.43958552118,"H+"
"M_12","T_1",1478.02589305563,"H+"
"M_13","T_1",606.289768492322,"H+"
"M_14","T_1",1011.11943452328,"H+"
"M_15","T_1",1892.4019313413,"H+"
"M_16","T_1",1172.42597252369,"H+"
"M_17","T_1",2544.09851328051,"H+"
"M_18","T_1",1684.03378964128,"H+"
"M_19","T_1",523.920583712086,"H+"
"M_20","T_1",2397.75166505768,"H+"
"M_21","T_1",638.827444297113,"H+"
"M_22","T_1",555.566527224899,"H-"
"M_23","T_1",1580.10162549772,"H+"
"M_24","T_1",2139.96589831699,"H+"
"M_25","T_1",1524.56934327835,"H+"
"M_26","T_1",1854.4008694227,"H+"
"M_27","T_1",897.934195320174,"H+"
"M_28","T_1",1065.37124410097,"H+"
"M_29","T_1",710.057759097757,"H-"
"M_30","T_1",758.82814294921,"H-"
"M_31","T_1",1785.90764350273,"H+"
"M_32","T_1",1256.44505962059,"H+"
"M_33","T_1",1720.95313584957,"H+"
"M_34","T_1",958.264600358495,"H+"
"M_35","T_1",794.63517468804,"H+"
"M_36","T_1",1892.02295463406,"H+"
"M_37","T_1",1428.1677396367,"H+"
"M_38","T_1",1677.11583758998,"H+"
"M_39","T_1",1220.72884949277,"H-"
"M_40","T_1",895.012891509412,"H-"
"M_41","T_1",1915.35726790967,"H-"
"M_42","T_1",1465.02675261856,"H+"
"M_43","T_1",1027.96049375911,"H+"
"M_44","T_1",1113.94069764663,"H+"
"M_45","T_1",948.360587760978,"H+"
"M_46","T_1",1845.07797884559,"H+"
"M_47","T_1",1254.53459167273,"H+"
"M_48","T_1",1138.47544605736,"H+"
"M_49","T_1",1090.16896447449,"H+"
"M_50","T_1",2340.23203931206,"H+"
"M_51","T_1",1168.70909687796,"H+"
"M_52","T_1",1064.29989989198,"H+"
"M_53","T_1",2114.16953714217,"H+"
"M_54","T_1",2005.08677944268,"H+"
"M_55","T_1",2525.9828659345,"H+"
"M_56","T_1",1888.05947835536,"H+"
"M_57","T_1",1107.40670078637,"H+"
"M_58","T_1",2713.29338256348,"H-"
"M_59","T_1",1370.7844295223,"H-"
"M_60","T_1",2508.87295356445,"H-"
"M_61","T_1",1680.20209934094,"H+"
"M_62","T_1",1356.74781804132,"H+"
"M_63","T_1",1584.00629655861,"H+"
"M_64","T_1",1527.61849871353,"H+"
"M_65","T_1",1278.9592410723,"H+"
"M_66","T_1",2259.68287733111,"H+"
"M_67","T_1",1348.66221300791,"H+"
"M_68","T_1",1593.11812064482,"H+"
"M_69","T_1",1852.85461729961,"H+"
"M_70","T_1",1708.7942282167,"H-"
"M_71","T_1",2396.4916885298,"H+"
"M_72","T_1",1519.67548042544,"H+"
"M_73","T_1",1355.15004153692,"H-"
"M_74","T_1",1483.61452482486,"H+"
"M_75","T_1",2257.72559973801,"H+"
"M_76","T_1",1985.17598999763,"H+"
"M_77","T_1",1407.55255432057,"H+"
"M_78","T_1",2614.61285327694,"H-"
"M_79","T_1",1516.07254571733,"H+"
"M_80","T_1",1973.87202396444,"H+"
"M_81","T_1",2815.85137529237,"H+"
"M_82","T_1",1952.64596856358,"H+"
"M_83","T_1",2539.83033225892,"H+"
"M_84","T_1",1525.61476621284,"H+"
"M_85","T_1",2750.98389425093,"H+"
"M_86","T_1",2313.06594332517,"H+"
"M_87","T_1",1832.32735874565,"H+"
"M_88","T_1",1638.32521677578,"H+"
"M_89","T_1",1609.59013728688,"H-"
"M_90","T_1",1724.60641710804,"H+"
"M_91","T_1",1607.97618213153,"H+"
"M_92","T_1",2566.34004232304,"H+"
"M_93","T_1",2969.94109701709,"H-"
"M_94","T_1",1710.39584148915,"H+"
"M_95","T_1",1946.9194985145,"H+"
"M_96","T_1",2307.98456874601,"H+"
"M_97","T_1",2073.68973763384,"H+"
"M_98","T_1",1763.31623201641,"H+"
"M_99","T_1",3010.01929711977,"H+"
"M_100","T_1",2237.55625777859,"H+"
"M_101","T_1",1863.28451900562,"H+"
"M_102","T_1",2457.97437292851,"H+"
"M_103","T_1",1805.93103877135,"H+"
"M_104","T_1",1960.50933517945,"H+"
"M_105","T_1",1963.91583639604,"H+"
"M_106","T_1",2132.11604966296,"H+"
