"Cell_ID_Myeloid","Cell_ID_Tumor","Distance","Cell_type"
"M_1","T_1",502.033717698573,"H+"
"M_2","T_1",1000.66921767046,"H-"
"M_3","T_1",603.660617791852,"H-"
"M_4","T_1",554.157538482982,"H+"
"M_5","T_1",707.798787111752,"H+"
"M_6","T_1",380.434282246612,"H+"
"M_7","T_1",1069.74072981373,"H-"
"M_8","T_1",373.119765909377,"H+"
"M_9","T_1",454.094805034417,"H+"
"M_10","T_1",750.686693509515,"H-"
"M_11","T_1",180.178611105573,"H+"
"M_12","T_1",301.730749067983,"H+"
"M_13","T_1",683.531575607888,"H+"
"M_14","T_1",268.167008716354,"H+"
"M_15","T_1",709.726953515097,"H+"
"M_16","T_1",280.583025868436,"H+"
"M_17","T_1",1354.19503315496,"H+"
"M_18","T_1",530.599082800043,"H+"
"M_19","T_1",996.694951072149,"H+"
"M_20","T_1",1217.34326556775,"H+"
"M_21","T_1",868.85669383482,"H+"
"M_22","T_1",1101.23250717287,"H-"
"M_23","T_1",512.469184644575,"H+"
"M_24","T_1",985.063497897928,"H+"
"M_25","T_1",527.294025138584,"H+"
"M_26","T_1",749.690929771212,"H+"
"M_27","T_1",776.396519653716,"H+"
"M_28","T_1",646.312341502433,"H+"
"M_29","T_1",1186.7787207902,"H-"
"M_30","T_1",1075.26852777879,"H-"
"M_31","T_1",750.418483363326,"H+"
"M_32","T_1",642.009547259493,"H+"
"M_33","T_1",719.773856291485,"H+"
"M_34","T_1",915.743359026227,"H+"
"M_35","T_1",1422.22313747176,"H+"
"M_36","T_1",864.151139194998,"H+"
"M_37","T_1",691.993256539784,"H+"
"M_38","T_1",758.684029171454,"H+"
"M_39","T_1",774.437356449638,"H-"
"M_40","T_1",1123.81421255502,"H-"
"M_41","T_1",916.032549718535,"H-"
"M_42","T_1",777.988267209892,"H+"
"M_43","T_1",1202.45858806534,"H+"
"M_44","T_1",970.024574692043,"H+"
"M_45","T_1",1473.42934587009,"H+"
"M_46","T_1",927.993804027062,"H+"
"M_47","T_1",981.043094372878,"H+"
"M_48","T_1",1121.92982225435,"H+"
"M_49","T_1",1353.723096765,"H+"
"M_50","T_1",1295.00234955819,"H+"
"M_51","T_1",1217.66937160933,"H+"
"M_52","T_1",1414.78717076867,"H+"
"M_53","T_1",1142.27938862249,"H+"
"M_54","T_1",1090.62937745281,"H+"
"M_55","T_1",1450.38934324769,"H+"
"M_56","T_1",1038.24660226216,"H+"
"M_57","T_1",1536.44960402482,"H+"
"M_58","T_1",1624.99831900856,"H-"
"M_59","T_1",1078.30407929911,"H-"
"M_60","T_1",1463.70229489679,"H-"
"M_61","T_1",1033.48258031792,"H+"
"M_62","T_1",1183.19252012224,"H+"
"M_63","T_1",1065.58737204238,"H+"
"M_64","T_1",1098.50081473398,"H+"
"M_65","T_1",1362.41542163916,"H+"
"M_66","T_1",1311.24192356191,"H+"
"M_67","T_1",1286.14154757273,"H+"
"M_68","T_1",1193.39557837012,"H+"
"M_69","T_1",1171.47343955475,"H+"
"M_70","T_1",1196.26104860575,"H-"
"M_71","T_1",1441.4396939317,"H+"
"M_72","T_1",1243.04475855397,"H+"
"M_73","T_1",1502.48179735309,"H-"
"M_74","T_1",1344.74566997397,"H+"
"M_75","T_1",1381.67539615961,"H+"
"M_76","T_1",1260.63318999477,"H+"
"M_77","T_1",1778.72428860329,"H+"
"M_78","T_1",1623.44555931145,"H-"
"M_79","T_1",1456.59719787195,"H+"
"M_80","T_1",1317.41525334253,"H+"
"M_81","T_1",1809.42698668679,"H+"
"M_82","T_1",1393.76124772159,"H+"
"M_83","T_1",1632.60789082092,"H+"
"M_84","T_1",1778.24774286399,"H+"
"M_85","T_1",1778.01509393109,"H+"
"M_86","T_1",1512.51855528239,"H+"
"M_87","T_1",1453.28288196197,"H+"
"M_88","T_1",1674.35892520482,"H+"
"M_89","T_1",1823.99768420027,"H-"
"M_90","T_1",1575.55053455206,"H+"
"M_91","T_1",1920.73614252028,"H+"
"M_92","T_1",1713.31270343526,"H+"
"M_93","T_1",1994.79815000026,"H-"
"M_94","T_1",1875.460669805,"H+"
"M_95","T_1",1621.1714583153,"H+"
"M_96","T_1",1641.39805836942,"H+"
"M_97","T_1",1635.81544248205,"H+"
"M_98","T_1",2053.52316311997,"H+"
"M_99","T_1",2061.91454153328,"H+"
"M_100","T_1",1671.69511891035,"H+"
"M_101","T_1",1809.68839015792,"H+"
"M_102","T_1",1737.89540709573,"H+"
"M_103","T_1",1988.13393711065,"H+"
"M_104","T_1",1807.18367910678,"H+"
"M_105","T_1",2031.75418994285,"H+"
"M_106","T_1",1865.69222809311,"H+"
"M_107","T_1",1872.75983298485,"H+"
"M_108","T_1",2295.35607016324,"H+"
"M_109","T_1",2122.79546201048,"H+"
"M_110","T_1",2094.29802858351,"H+"
"M_111","T_1",1992.75116686591,"H+"
"M_112","T_1",1993.03840316349,"H+"
"M_113","T_1",2003.35230628707,"H+"
"M_114","T_1",2044.10627180613,"H-"
"M_115","T_1",2279.67317497531,"H+"
"M_116","T_1",2019.88150316584,"H+"
"M_1","T_2",1405.30171614724,"H+"
"M_2","T_2",1907.63207119626,"H-"
"M_3","T_2",1511.50499694088,"H-"
"M_4","T_2",367.012488498238,"H+"
"M_5","T_2",1616.02547236002,"H+"
"M_6","T_2",1288.38651134725,"H+"
"M_7","T_2",1977.81517096333,"H-"
"M_8","T_2",537.105143056802,"H+"
"M_9","T_2",1356.09616004333,"H+"
"M_10","T_2",1656.04301647493,"H-"
"M_11","T_2",784.685134217761,"H+"
"M_12","T_2",651.495752882141,"H+"
"M_13","T_2",1576.99366390893,"H+"
"M_14","T_2",1133.33017643156,"H+"
"M_15","T_2",311.367475344089,"H+"
"M_16","T_2",1022.00431797026,"H+"
"M_17","T_2",488.211448549696,"H+"
"M_18","T_2",534.836522793056,"H+"
"M_19","T_2",1874.42813425922,"H+"
"M_20","T_2",433.204472979272,"H+"
"M_21","T_2",1730.8448643024,"H+"
"M_22","T_2",1971.28991223246,"H-"
"M_23","T_2",730.704955440484,"H+"
"M_24","T_2",441.103202841044,"H+"
"M_25","T_2",839.043025610726,"H+"
"M_26","T_2",595.222419020265,"H+"
"M_27","T_2",1564.47373072707,"H+"
"M_28","T_2",1367.86759646845,"H+"
"M_29","T_2",2026.96994009381,"H-"
"M_30","T_2",1899.97954928368,"H-"
"M_31","T_2",751.501767328492,"H+"
"M_32","T_2",1238.6049726181,"H+"
"M_33","T_2",813.720916180954,"H+"
"M_34","T_2",1673.22466280287,"H+"
"M_35","T_2",2260.89467269221,"H+"
"M_36","T_2",776.995067825321,"H+"
"M_37","T_2",1144.89945687195,"H+"
"M_38","T_2",944.670595701367,"H+"
"M_39","T_2",1396.00131841783,"H-"
"M_40","T_2",1909.84281392327,"H-"
"M_41","T_2",842.751240365844,"H-"
"M_42","T_2",1210.91134799963,"H+"
"M_43","T_2",1948.55354229282,"H+"
"M_44","T_2",1659.93435409938,"H+"
"M_45","T_2",2278.98086939203,"H+"
"M_46","T_2",982.703247476876,"H+"
"M_47","T_2",1597.56597974263,"H+"
"M_48","T_2",1813.97157015074,"H+"
"M_49","T_2",2096.29412724682,"H+"
"M_50","T_2",912.388613744818,"H+"
"M_51","T_2",1908.7445894826,"H+"
"M_52","T_2",2175.73543861002,"H+"
"M_53","T_2",974.776303142976,"H+"
"M_54","T_2",1046.23303768792,"H+"
"M_55","T_2",946.391428902069,"H+"
"M_56","T_2",1116.91870045972,"H+"
"M_57","T_2",2303.12111204369,"H+"
"M_58","T_2",1049.24890575946,"H-"
"M_59","T_2",1640.68629016587,"H-"
"M_60","T_2",1021.95657171475,"H-"
"M_61","T_2",1344.24185190715,"H+"
"M_62","T_2",1774.78214721095,"H+"
"M_63","T_2",1473.25610756417,"H+"
"M_64","T_2",1559.84854900125,"H+"
"M_65","T_2",2029.42577817352,"H+"
"M_66","T_2",1104.29062369908,"H+"
"M_67","T_2",1903.65673104971,"H+"
"M_68","T_2",1635.83144114459,"H+"
"M_69","T_2",1377.74411295731,"H+"
"M_70","T_2",1549.10489232813,"H-"
"M_71","T_2",1173.94709806854,"H+"
"M_72","T_2",1751.09405101528,"H+"
"M_73","T_2",2165.72838988656,"H-"
"M_74","T_2",1902.99040364223,"H+"
"M_75","T_2",1258.37408123111,"H+"
"M_76","T_2",1379.74588807627,"H+"
"M_77","T_2",2488.6614696341,"H+"
"M_78","T_2",1239.4017693136,"H-"
"M_79","T_2",2027.94751282637,"H+"
"M_80","T_2",1486.05934836244,"H+"
"M_81","T_2",1356.77497809427,"H+"
"M_82","T_2",1628.48853538685,"H+"
"M_83","T_2",1381.36085082557,"H+"
"M_84","T_2",2438.07243148733,"H+"
"M_85","T_2",1388.20671937858,"H+"
"M_86","T_2",1444.61731634375,"H+"
"M_87","T_2",1818.51157612718,"H+"
"M_88","T_2",2247.01964235757,"H+"
"M_89","T_2",2459.05587386659,"H-"
"M_90","T_2",2064.27428845304,"H+"
"M_91","T_2",2586.70978501936,"H+"
"M_92","T_2",1517.5197318919,"H+"
"M_93","T_2",1560.52606031746,"H-"
"M_94","T_2",2478.43080514862,"H+"
"M_95","T_2",1978.17277551598,"H+"
"M_96","T_2",1689.48378925567,"H+"
"M_97","T_2",1900.77055582526,"H+"
"M_98","T_2",2692.05824290257,"H+"
"M_99","T_2",1658.24877590068,"H+"
"M_100","T_2",1812.84334274646,"H+"
"M_101","T_2",2304.69129103166,"H+"
"M_102","T_2",1700.69216368294,"H+"
"M_103","T_2",2582.71711017216,"H+"
"M_104","T_2",2240.44150350638,"H+"
"M_105","T_2",2558.71897245394,"H+"
"M_106","T_2",2208.80891592893,"H+"
"M_107","T_2",2149.72354779205,"H+"
"M_108","T_2",1901.46630937571,"H+"
"M_109","T_2",2620.47052230355,"H+"
"M_110","T_2",2532.50776229876,"H+"
"M_111","T_2",2136.65716049827,"H+"
"M_112","T_2",2220.51204264459,"H+"
"M_113","T_2",2265.66349497936,"H+"
"M_114","T_2",2398.22228047249,"H-"
"M_115","T_2",2814.93658692001,"H+"
"M_116","T_2",2129.12642142039,"H+"
"M_1","T_3",647.529947720205,"H+"
"M_2","T_3",1140.40808905161,"H-"
"M_3","T_3",743.228836116703,"H-"
"M_4","T_3",442.340896393069,"H+"
"M_5","T_3",845.631378707034,"H+"
"M_6","T_3",521.428220515359,"H+"
"M_7","T_3",1201.86351310225,"H-"
"M_8","T_3",243.966776542734,"H+"
"M_9","T_3",577.27834692887,"H+"
"M_10","T_3",877.740297933309,"H-"
"M_11","T_3",47.214146131851,"H+"
"M_12","T_3",150.308344085331,"H+"
"M_13","T_3",797.969451360448,"H+"
"M_14","T_3",356.838693983191,"H+"
"M_15","T_3",562.121394337337,"H+"
"M_16","T_3",286.869686592105,"H+"
"M_17","T_3",1211.54950618136,"H+"
"M_18","T_3",378.943929184281,"H+"
"M_19","T_3",1100.74630842099,"H+"
"M_20","T_3",1069.674910985,"H+"
"M_21","T_3",963.058607803918,"H+"
"M_22","T_3",1201.15650077915,"H-"
"M_23","T_3",379.219715654657,"H+"
"M_24","T_3",833.413317940628,"H+"
"M_25","T_3",414.475642982596,"H+"
"M_26","T_3",601.629843707937,"H+"
"M_27","T_3",833.685022492125,"H+"
"M_28","T_3",671.896831976592,"H+"
"M_29","T_3",1272.0516669023,"H-"
"M_30","T_3",1152.71654577046,"H-"
"M_31","T_3",614.313104612502,"H+"
"M_32","T_3",621.66991296822,"H+"
"M_33","T_3",592.178959585552,"H+"
"M_34","T_3",963.40015957448,"H+"
"M_35","T_3",1508.0837400077,"H+"
"M_36","T_3",726.44191094439,"H+"
"M_37","T_3",632.696582550649,"H+"
"M_38","T_3",648.03268303572,"H+"
"M_39","T_3",769.850775186686,"H-"
"M_40","T_3",1185.71669101786,"H-"
"M_41","T_3",782.124019931958,"H-"
"M_42","T_3",719.895281876257,"H+"
"M_43","T_3",1250.57724296181,"H+"
"M_44","T_3",994.631521206803,"H+"
"M_45","T_3",1545.92142270579,"H+"
"M_46","T_3",809.150447583393,"H+"
"M_47","T_3",982.677517745144,"H+"
"M_48","T_3",1150.53626689512,"H+"
"M_49","T_3",1402.44540365988,"H+"
"M_50","T_3",1149.45427616944,"H+"
"M_51","T_3",1247.65884514363,"H+"
"M_52","T_3",1470.45124428523,"H+"
"M_53","T_3",1008.18257024725,"H+"
"M_54","T_3",967.011907692061,"H+"
"M_55","T_3",1301.26838446437,"H+"
"M_56","T_3",927.925239807064,"H+"
"M_57","T_3",1595.13010804667,"H+"
"M_58","T_3",1474.60699001094,"H-"
"M_59","T_3",1067.37935304532,"H-"
"M_60","T_3",1317.21550076243,"H-"
"M_61","T_3",962.0310032762,"H+"
"M_62","T_3",1183.02430732556,"H+"
"M_63","T_3",1015.92255182045,"H+"
"M_64","T_3",1062.43337582589,"H+"
"M_65","T_3",1387.24230793586,"H+"
"M_66","T_3",1177.94877235956,"H+"
"M_67","T_3",1295.3573418645,"H+"
"M_68","T_3",1155.86092368517,"H+"
"M_69","T_3",1086.1833108348,"H+"
"M_70","T_3",1139.33051292678,"H-"
"M_71","T_3",1305.61619611662,"H+"
"M_72","T_3",1222.47065648184,"H+"
"M_73","T_3",1528.08038556688,"H-"
"M_74","T_3",1339.09207799235,"H+"
"M_75","T_3",1257.84592767646,"H+"
"M_76","T_3",1164.2910302671,"H+"
"M_77","T_3",1820.8959919179,"H+"
"M_78","T_3",1481.71851132272,"H-"
"M_79","T_3",1456.33901818592,"H+"
"M_80","T_3",1230.4705722847,"H+"
"M_81","T_3",1665.14284447067,"H+"
"M_82","T_3",1319.97467606863,"H+"
"M_83","T_3",1500.96964201553,"H+"
"M_84","T_3",1805.80082281454,"H+"
"M_85","T_3",1637.34247562031,"H+"
"M_86","T_3",1397.52933680186,"H+"
"M_87","T_3",1405.59898564348,"H+"
"M_88","T_3",1677.57179239677,"H+"
"M_89","T_3",1845.15366087299,"H-"
"M_90","T_3",1557.02035062372,"H+"
"M_91","T_3",1951.21604558086,"H+"
"M_92","T_3",1587.89833670749,"H+"
"M_93","T_3",1852.80125416848,"H-"
"M_94","T_3",1888.6331632814,"H+"
"M_95","T_3",1575.10063944184,"H+"
"M_96","T_3",1543.70661170984,"H+"
"M_97","T_3",1572.55723753695,"H+"
"M_98","T_3",2077.52511248376,"H+"
"M_99","T_3",1922.38027470608,"H+"
"M_100","T_3",1588.29149924928,"H+"
"M_101","T_3",1795.92579764545,"H+"
"M_102","T_3",1630.54634805263,"H+"
"M_103","T_3",2000.19475506753,"H+"
"M_104","T_3",1779.73164219361,"H+"
"M_105","T_3",2027.78544696222,"H+"
"M_106","T_3",1820.66769730776,"H+"
"M_107","T_3",1815.436000535,"H+"
"M_108","T_3",2157.89532767425,"H+"
"M_109","T_3",2112.96569068454,"H+"
"M_110","T_3",2071.22572362403,"H+"
"M_111","T_3",1914.579479577,"H+"
"M_112","T_3",1928.58718014636,"H+"
"M_113","T_3",1945.10881042092,"H+"
"M_114","T_3",2003.426031221,"H-"
"M_115","T_3",2279.73218510443,"H+"
"M_116","T_3",1936.70589066408,"H+"
"M_1","T_4",524.580085631643,"H+"
"M_2","T_4",1011.73146578633,"H-"
"M_3","T_4",615.243409540136,"H-"
"M_4","T_4",570.907585168821,"H+"
"M_5","T_4",716.527848378787,"H+"
"M_6","T_4",395.577555367118,"H+"
"M_7","T_4",1070.60987081218,"H-"
"M_8","T_4",375.525273828303,"H+"
"M_9","T_4",445.37578550271,"H+"
"M_10","T_4",745.92441313492,"H-"
"M_11","T_4",137.350843208816,"H+"
"M_12","T_4",274.214916930766,"H+"
"M_13","T_4",666.193823995095,"H+"
"M_14","T_4",227.809283595595,"H+"
"M_15","T_4",688.666376962037,"H+"
"M_16","T_4",200.945493296166,"H+"
"M_17","T_4",1340.79867950214,"H+"
"M_18","T_4",490.740057083671,"H+"
"M_19","T_4",970.947287623486,"H+"
"M_20","T_4",1195.07957975332,"H+"
"M_21","T_4",835.667794643589,"H+"
"M_22","T_4",1072.464775328,"H-"
"M_23","T_4",446.727341355724,"H+"
"M_24","T_4",949.475547737214,"H+"
"M_25","T_4",451.352857492262,"H+"
"M_26","T_4",696.807053685192,"H+"
"M_27","T_4",721.189438147683,"H+"
"M_28","T_4",577.117923546049,"H+"
"M_29","T_4",1148.12080204656,"H-"
"M_30","T_4",1031.68577825268,"H-"
"M_31","T_4",684.340547435238,"H+"
"M_32","T_4",560.85118040907,"H+"
"M_33","T_4",648.55861334017,"H+"
"M_34","T_4",856.495983974239,"H+"
"M_35","T_4",1384.17613470652,"H+"
"M_36","T_4",798.687783878818,"H+"
"M_37","T_4",607.396751563486,"H+"
"M_38","T_4",680.411079176486,"H+"
"M_39","T_4",696.980796976456,"H-"
"M_40","T_4",1071.82681934004,"H-"
"M_41","T_4",847.571175917454,"H-"
"M_42","T_4",693.439844443299,"H+"
"M_43","T_4",1144.05703588404,"H+"
"M_44","T_4",901.770971786999,"H+"
"M_45","T_4",1427.52470088716,"H+"
"M_46","T_4",851.879209946181,"H+"
"M_47","T_4",905.74159763224,"H+"
"M_48","T_4",1055.46424902262,"H+"
"M_49","T_4",1295.82022982563,"H+"
"M_50","T_4",1236.22122339954,"H+"
"M_51","T_4",1151.89266248842,"H+"
"M_52","T_4",1360.16396452699,"H+"
"M_53","T_4",1073.23823332249,"H+"
"M_54","T_4",1016.03339945674,"H+"
"M_55","T_4",1397.40852631086,"H+"
"M_56","T_4",959.048064261332,"H+"
"M_57","T_4",1483.41428667788,"H+"
"M_58","T_4",1575.10168022065,"H-"
"M_59","T_4",1000.14243902767,"H-"
"M_60","T_4",1405.95972198709,"H-"
"M_61","T_4",948.934007341049,"H+"
"M_62","T_4",1107.8059146953,"H+"
"M_63","T_4",981.625427653632,"H+"
"M_64","T_4",1015.95233956884,"H+"
"M_65","T_4",1294.98515757272,"H+"
"M_66","T_4",1241.32356458759,"H+"
"M_67","T_4",1213.53173115033,"H+"
"M_68","T_4",1110.75046173057,"H+"
"M_69","T_4",1087.64705064148,"H+"
"M_70","T_4",1111.91688730628,"H-"
"M_71","T_4",1373.01641889392,"H+"
"M_72","T_4",1163.13178165056,"H+"
"M_73","T_4",1435.49843323814,"H-"
"M_74","T_4",1268.19267486025,"H+"
"M_75","T_4",1306.64591945793,"H+"
"M_76","T_4",1178.10716984137,"H+"
"M_77","T_4",1718.42880341133,"H+"
"M_78","T_4",1559.73192833151,"H-"
"M_79","T_4",1381.54200136198,"H+"
"M_80","T_4",1233.66260720362,"H+"
"M_81","T_4",1748.30455159998,"H+"
"M_82","T_4",1309.2105461399,"H+"
"M_83","T_4",1561.22536861522,"H+"
"M_84","T_4",1712.23079774062,"H+"
"M_85","T_4",1713.11633055428,"H+"
"M_86","T_4",1434.04441494756,"H+"
"M_87","T_4",1369.69117135529,"H+"
"M_88","T_4",1600.44852105126,"H+"
"M_89","T_4",1755.76018789863,"H-"
"M_90","T_4",1496.34501252685,"H+"
"M_91","T_4",1855.90731600388,"H+"
"M_92","T_4",1638.62049239421,"H+"
"M_93","T_4",1930.98822065913,"H-"
"M_94","T_4",1804.64776911125,"H+"
"M_95","T_4",1537.80228652882,"H+"
"M_96","T_4",1558.83868552527,"H+"
"M_97","T_4",1551.30909868831,"H+"
"M_98","T_4",1986.42660456582,"H+"
"M_99","T_4",1995.75326484001,"H+"
"M_100","T_4",1587.53129744207,"H+"
"M_101","T_4",1731.6459917292,"H+"
"M_102","T_4",1657.16478364363,"H+"
"M_103","T_4",1917.04841272823,"H+"
"M_104","T_4",1726.45164258462,"H+"
"M_105","T_4",1956.16673331337,"H+"
"M_106","T_4",1782.51395619606,"H+"
"M_107","T_4",1788.55221850494,"H+"
"M_108","T_4",2227.35535088991,"H+"
"M_109","T_4",2045.81501381383,"H+"
"M_110","T_4",2014.4869258961,"H+"
"M_111","T_4",1908.27073815406,"H+"
"M_112","T_4",1908.52764926071,"H+"
"M_113","T_4",1919.11084315285,"H+"
"M_114","T_4",1961.48929826413,"H-"
"M_115","T_4",2205.26247808563,"H+"
"M_116","T_4",1935.64231038617,"H+"
"M_1","T_5",774.766389449965,"H+"
"M_2","T_5",1258.26554885125,"H-"
"M_3","T_5",863.220952877052,"H-"
"M_4","T_5",398.543101091994,"H+"
"M_5","T_5",962.959592663743,"H+"
"M_6","T_5",645.320884676099,"H+"
"M_7","T_5",1310.83651510799,"H-"
"M_8","T_5",198.05293931227,"H+"
"M_9","T_5",684.460348081273,"H+"
"M_10","T_5",983.780528106199,"H-"
"M_11","T_5",113.911380425023,"H+"
"M_12","T_5",51.892431919819,"H+"
"M_13","T_5",893.061959524204,"H+"
"M_14","T_5",448.749139680717,"H+"
"M_15","T_5",444.203146393997,"H+"
"M_16","T_5",327.951523525506,"H+"
"M_17","T_5",1099.10687564303,"H+"
"M_18","T_5",241.213265356176,"H+"
"M_19","T_5",1182.0788008477,"H+"
"M_20","T_5",947.619325693326,"H+"
"M_21","T_5",1036.82414659257,"H+"
"M_22","T_5",1277.49975178482,"H-"
"M_23","T_5",250.332592837461,"H+"
"M_24","T_5",699.419219076093,"H+"
"M_25","T_5",308.341573362766,"H+"
"M_26","T_5",459.967416791646,"H+"
"M_27","T_5",876.388672056799,"H+"
"M_28","T_5",691.546144413242,"H+"
"M_29","T_5",1333.60056759956,"H-"
"M_30","T_5",1208.16147947908,"H-"
"M_31","T_5",479.021108761293,"H+"
"M_32","T_5",600.950838913135,"H+"
"M_33","T_5",464.455833815952,"H+"
"M_34","T_5",994.26842575368,"H+"
"M_35","T_5",1568.23884220549,"H+"
"M_36","T_5",589.408912198968,"H+"
"M_37","T_5",572.940390746262,"H+"
"M_38","T_5",535.651353847339,"H+"
"M_39","T_5",757.662409248106,"H-"
"M_40","T_5",1226.1318392048,"H-"
